Age,Attrition,Business_Travel,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Daily_Rate,Monthly_Income,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Stock_Option_Level,Total_Working_Years,Work_Life_Balance,Years_At_Company,Years_In_CurrentRole,Years_Since_Last_Promotion,Years_With_Curr_Manager
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,670,2911,1,No,17,3,1,5,2,5,2,4,3
34,No,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,1346,2661,0,No,11,3,1,3,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,103,2028,5,Yes,14,3,0,6,3,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,1389,9980,1,No,11,3,1,10,3,10,9,8,8
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,334,3298,0,Yes,12,3,2,7,2,6,2,0,5
22,No,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,1123,2935,1,Yes,13,3,2,1,2,1,0,0,0
53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,1219,15427,2,No,16,3,0,31,3,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,371,3944,5,Yes,11,3,0,6,3,3,2,1,2
24,No,Non-Travel,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,673,4011,0,No,18,3,1,5,2,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,1218,3407,7,No,23,4,0,10,3,5,3,0,3
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,419,11994,0,No,11,3,0,13,3,12,6,2,11
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,391,1232,1,No,14,3,0,0,3,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,699,2960,2,No,11,3,0,8,3,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,1282,19094,4,No,11,3,1,26,2,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,1125,3919,1,Yes,22,4,0,10,3,10,2,6,7
42,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,Married,691,6825,0,No,11,3,1,10,3,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,477,10248,3,No,14,3,1,24,3,22,6,5,17
46,No,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,5,Manager,1,Single,705,18947,3,No,12,3,0,22,2,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,924,2496,4,No,11,3,0,7,3,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,1459,6465,2,Yes,13,3,0,9,4,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,125,2206,1,No,13,3,0,10,3,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,895,2086,3,No,14,3,1,19,4,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,813,2293,2,Yes,16,3,1,6,2,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,1273,2645,1,No,12,3,2,6,2,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,869,2683,1,Yes,14,3,0,3,3,3,2,0,2
35,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,890,2014,1,No,13,3,0,2,3,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,852,3419,9,Yes,14,3,1,6,4,1,1,0,0
33,No,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,1141,5376,2,No,19,3,2,10,3,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,464,1951,1,No,12,3,1,1,3,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,1240,2341,1,No,13,3,1,1,3,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,1357,2293,1,No,12,3,0,1,2,1,0,0,1
27,No,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,994,8726,1,No,15,3,0,9,3,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,721,4011,1,No,23,4,0,12,3,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,1360,19545,1,No,12,3,0,23,3,22,15,15,8
34,No,Non-Travel,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,Single,1065,4568,0,No,20,4,0,10,3,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,408,3022,4,No,21,4,0,8,3,1,0,0,0
46,No,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,1211,5772,4,Yes,21,4,0,14,3,9,6,0,8
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,1229,2269,1,No,19,3,0,1,3,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,626,5381,9,Yes,13,3,0,23,3,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,1434,3441,1,Yes,13,3,0,2,2,2,2,2,2
44,No,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,1488,5454,5,Yes,21,4,1,9,2,4,3,1,3
35,No,Non-Travel,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,1097,9884,2,Yes,13,3,1,10,3,4,0,2,3
26,No,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,1443,4157,7,Yes,19,3,1,5,2,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,515,13458,1,Yes,12,3,0,15,3,15,14,8,12
35,No,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,853,9069,1,No,22,4,1,9,2,9,8,1,8
35,No,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,1142,4014,3,Yes,15,3,1,4,3,2,2,2,2
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,655,5915,3,No,22,4,1,10,2,7,7,1,7
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,1115,5993,1,No,18,3,1,7,4,7,5,0,7
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,427,6162,1,Yes,22,4,1,9,3,9,8,7,8
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,653,2406,1,No,11,3,0,10,3,10,3,9,9
50,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,989,18740,5,Yes,12,3,1,29,2,27,3,13,8
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,1435,7637,7,No,11,3,0,28,2,21,16,7,9
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,1223,10096,1,No,13,3,3,17,3,17,14,12,8
55,No,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,836,14756,2,Yes,14,3,3,21,3,5,0,0,2
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,1195,6499,1,No,13,3,0,6,3,6,5,0,3
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,1339,9724,2,No,17,3,1,25,3,1,0,0,0
35,No,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,664,2194,4,No,13,3,1,5,2,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,318,3388,0,Yes,17,3,1,2,2,1,0,0,0
59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,1225,5473,7,No,11,3,0,20,2,4,3,1,3
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,1328,2703,0,No,23,4,1,6,3,5,4,0,4
31,No,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,1082,2501,1,No,17,3,0,1,3,1,1,1,0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,548,6220,1,No,17,3,2,10,3,10,4,0,9
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,132,3038,3,No,12,3,0,5,3,1,0,0,0
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,746,4424,1,No,23,4,0,11,3,11,7,1,8
35,No,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,Single,776,4312,0,No,14,3,0,16,3,15,13,2,8
45,No,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,193,13245,4,Yes,14,3,0,17,4,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,397,13664,4,No,13,3,0,16,4,5,2,0,2
46,No,Travel_Rarely,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,Divorced,945,5021,8,Yes,22,4,1,16,3,4,2,0,2
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,852,5126,1,Yes,12,3,2,10,2,10,8,3,0
35,No,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,1214,2859,1,No,18,3,0,6,3,6,4,0,4
55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,111,10239,3,No,14,3,1,24,3,1,0,1,0
38,No,Non-Travel,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,573,5329,7,Yes,12,3,3,17,3,13,11,1,9
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,1153,4325,1,No,15,3,0,5,3,5,2,1,3
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,1400,7260,4,No,11,3,0,37,2,6,4,0,2
23,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,541,2322,3,No,13,3,1,3,3,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,432,2075,3,No,23,4,2,10,3,4,2,0,3
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,288,4152,1,No,19,3,3,11,3,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,Single,669,9619,1,No,16,3,0,9,3,9,8,4,7
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,530,13503,1,No,22,4,1,22,2,22,3,11,11
51,No,Travel_Rarely,Sales,21,4,Marketing,3,Male,3,2,Sales Executive,4,Single,632,5441,0,Yes,22,4,0,11,1,10,7,1,0
30,No,Travel_Rarely,Sales,4,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,1334,5209,1,Yes,12,3,3,11,2,11,8,2,7
46,No,Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,638,10673,2,Yes,13,3,1,21,2,10,9,9,5
32,No,Travel_Rarely,Sales,6,4,Medical,2,Male,3,2,Sales Executive,3,Single,1093,5010,1,No,16,3,0,12,3,11,8,5,7
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,3,Research Director,3,Married,1217,13549,9,No,12,3,1,16,1,4,3,0,3
24,No,Travel_Rarely,Sales,3,2,Other,1,Female,3,2,Sales Executive,3,Married,1353,4999,0,No,21,4,1,4,2,3,2,0,2
28,No,Non-Travel,Sales,4,3,Medical,2,Male,3,2,Sales Executive,3,Married,120,4221,1,No,15,3,0,5,4,5,4,0,4
58,No,Travel_Rarely,Sales,10,4,Medical,4,Male,3,4,Sales Executive,3,Single,682,13872,0,No,13,3,0,38,2,37,10,1,8
44,No,Non-Travel,Research & Development,23,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,489,2042,4,No,12,3,1,17,4,3,2,1,2
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,3,1,Human Resources,1,Divorced,807,2073,4,Yes,22,4,0,7,3,3,2,0,2
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,827,2956,1,No,13,3,0,1,3,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,871,2926,1,Yes,18,3,0,1,3,1,0,1,0
34,No,Travel_Rarely,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,Single,665,4809,1,No,14,3,0,16,3,16,13,2,10
37,No,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,1040,5163,5,No,14,3,1,17,4,1,0,0,0
59,No,Non-Travel,Human Resources,2,4,Human Resources,3,Female,2,5,Manager,4,Married,1420,18844,9,No,21,4,1,30,3,3,2,2,2
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,3,5,Research Director,2,Married,1115,18172,3,Yes,19,3,0,28,2,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,2,Sales Executive,3,Single,240,5744,1,Yes,11,3,0,6,3,6,4,0,3
25,No,Travel_Rarely,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,Married,1280,2889,1,No,11,3,2,2,3,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,534,2871,1,No,15,3,0,1,3,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,1456,7484,3,No,20,4,0,23,2,13,12,12,8
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,658,6074,1,Yes,24,4,0,9,3,9,7,0,6
54,No,Non-Travel,Human Resources,26,3,Human Resources,4,Female,4,4,Manager,4,Single,142,17328,2,Yes,12,3,0,23,3,5,3,4,4
24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,1127,2774,0,No,12,3,1,6,3,5,3,1,2
34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,1031,4505,6,No,15,3,1,12,3,1,0,0,0
37,No,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,3,3,Sales Executive,4,Single,1189,7428,2,No,12,3,0,12,3,5,3,1,3
34,No,Travel_Rarely,Research & Development,5,3,Medical,3,Female,2,3,Manager,1,Single,1354,11631,2,No,12,3,0,14,3,11,10,5,8
36,No,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,3,3,Sales Executive,4,Married,1467,9738,0,No,14,3,1,10,3,9,7,2,8
36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,Divorced,922,2835,5,No,22,4,1,7,3,1,0,0,0
43,No,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,3,4,Manager,4,Married,394,16959,1,Yes,12,3,2,25,4,25,12,4,12
30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,1312,2613,1,No,25,4,3,10,2,10,7,0,9
33,No,Non-Travel,Sales,22,2,Marketing,3,Male,3,2,Sales Executive,2,Married,750,6146,0,No,13,3,1,8,4,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,3,1,Research Scientist,2,Married,441,4963,9,Yes,18,3,3,7,3,5,4,4,3
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,3,5,Research Director,3,Single,684,19537,7,No,13,3,0,23,3,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,1,2,Sales Executive,3,Married,249,6172,4,Yes,18,3,0,12,2,7,7,7,7
26,No,Travel_Rarely,Research & Development,6,3,Other,3,Female,2,1,Research Scientist,2,Married,841,2368,1,No,19,3,0,5,2,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,3,Healthcare Representative,4,Married,147,10312,1,No,12,3,1,40,2,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,Single,528,1675,1,Yes,19,3,0,0,2,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,594,2523,0,No,14,3,1,3,3,2,1,2,1
49,No,Travel_Rarely,Research & Development,20,4,Medical,3,Female,3,2,Manufacturing Director,1,Married,470,6567,1,No,14,3,0,16,2,15,11,5,11
43,No,Travel_Frequently,Research & Development,28,3,Medical,2,Female,4,1,Research Scientist,3,Single,957,4739,4,No,12,3,0,18,3,3,2,1,2
50,No,Travel_Frequently,Sales,12,3,Marketing,3,Female,3,3,Sales Executive,4,Single,809,9208,4,No,11,3,0,16,3,2,2,2,1
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,1,2,Sales Executive,3,Married,542,4559,3,Yes,11,3,1,4,3,2,2,2,2
41,No,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,3,3,Sales Executive,3,Divorced,802,8189,3,Yes,13,3,1,12,3,9,7,0,7
26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,3,1,Human Resources,3,Married,1355,2942,1,No,23,4,1,8,3,8,7,5,7
36,No,Travel_Rarely,Research & Development,6,2,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,216,4941,6,No,20,4,2,7,3,3,2,0,1
51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,Single,1150,10650,2,No,15,3,0,18,3,4,2,0,3
39,No,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,2,2,Sales Executive,3,Married,1329,5902,4,No,14,3,1,17,4,15,11,5,9
25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,2,2,Sales Executive,3,Married,959,8639,2,No,18,3,0,6,3,2,2,2,2
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,3,2,Human Resources,4,Married,1240,6347,0,Yes,19,3,0,12,1,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,1,Laboratory Technician,1,Single,1033,4200,7,No,22,4,0,10,4,5,4,0,4
45,No,Travel_Rarely,Research & Development,29,3,Medical,3,Male,3,1,Research Scientist,4,Single,1316,3452,5,No,13,3,0,9,2,6,5,0,3
38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,4,Female,3,2,Research Scientist,3,Single,364,4317,3,Yes,20,4,0,19,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Female,3,1,Research Scientist,3,Single,438,2632,1,No,14,3,0,5,2,5,4,0,4
32,No,Travel_Frequently,Sales,9,2,Medical,4,Male,1,2,Sales Executive,4,Divorced,689,4668,0,No,17,3,3,9,4,8,7,0,7
30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,4,Female,3,1,Research Scientist,1,Divorced,201,3204,5,No,14,3,1,8,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,2,1,Medical,2,Male,2,1,Laboratory Technician,4,Single,1427,2720,0,No,13,3,0,6,3,5,3,1,2
41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,4,Male,2,4,Manager,1,Divorced,857,17181,4,No,13,3,1,21,2,7,6,7,7
41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,3,1,Laboratory Technician,1,Married,933,2238,2,No,21,4,1,7,3,5,0,1,4
19,No,Travel_Rarely,Research & Development,3,1,Medical,2,Female,3,1,Laboratory Technician,2,Single,1181,1483,1,No,14,3,0,1,3,1,0,0,0
40,No,Travel_Frequently,Research & Development,26,3,Medical,2,Female,3,2,Research Scientist,2,Divorced,1395,5605,1,No,11,3,1,20,3,20,7,2,13
35,No,Travel_Rarely,Sales,1,5,Marketing,3,Male,3,3,Sales Executive,2,Married,662,7295,1,No,13,3,2,10,3,10,8,0,6
53,No,Travel_Rarely,Sales,6,2,Marketing,2,Male,3,2,Sales Representative,3,Married,1436,2306,2,Yes,20,4,1,13,1,7,7,4,5
45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,2,Male,3,2,Laboratory Technician,2,Divorced,194,2348,8,No,18,3,1,20,1,17,9,0,15
32,No,Travel_Frequently,Sales,8,3,Marketing,2,Female,3,3,Sales Executive,4,Single,967,8998,1,No,14,3,0,9,3,9,8,3,7
29,No,Non-Travel,Research & Development,1,1,Technical Degree,4,Male,3,2,Manufacturing Director,3,Married,1496,4319,1,No,13,3,1,10,3,10,7,0,9
51,No,Travel_Rarely,Research & Development,7,4,Medical,2,Male,2,2,Manufacturing Director,3,Married,1169,6132,2,No,17,3,0,10,3,1,0,0,0
58,No,Travel_Rarely,Research & Development,9,3,Medical,2,Female,2,1,Research Scientist,2,Married,1145,3346,4,Yes,20,4,1,9,2,1,0,0,0
40,No,Travel_Rarely,Sales,4,4,Marketing,3,Male,2,3,Sales Executive,4,Married,630,10855,7,No,11,3,1,15,2,12,11,2,11
34,No,Travel_Frequently,Sales,2,4,Marketing,3,Female,3,1,Sales Representative,3,Married,303,2231,6,No,18,3,1,6,3,4,3,1,2
22,No,Travel_Rarely,Research & Development,19,1,Medical,3,Male,3,1,Research Scientist,4,Married,1256,2323,1,No,24,4,2,2,3,2,2,2,2
27,No,Non-Travel,Research & Development,9,3,Medical,4,Male,3,1,Research Scientist,2,Divorced,691,2024,6,No,18,3,1,6,1,2,2,2,2
28,No,Travel_Rarely,Research & Development,21,3,Medical,3,Male,3,1,Research Scientist,4,Married,440,2713,1,No,11,3,1,5,1,5,2,0,2
57,No,Travel_Rarely,Research & Development,24,2,Life Sciences,3,Male,4,3,Healthcare Representative,4,Divorced,334,9439,3,Yes,16,3,1,12,1,5,3,1,4
27,No,Non-Travel,Research & Development,3,3,Medical,3,Male,2,1,Research Scientist,3,Divorced,1450,2566,1,Yes,15,3,1,1,2,1,1,0,1
50,No,Travel_Rarely,Research & Development,11,3,Life Sciences,3,Female,3,5,Manager,2,Single,1452,19926,3,No,15,3,0,21,3,5,4,4,4
41,No,Travel_Rarely,Research & Development,14,3,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,465,2451,4,No,12,3,1,13,3,9,8,1,8
30,No,Travel_Rarely,Sales,5,3,Life Sciences,2,Female,3,3,Sales Executive,4,Married,1339,9419,2,No,12,3,1,12,3,10,9,7,4
38,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Female,2,2,Sales Executive,4,Single,702,8686,4,No,22,4,0,12,4,8,3,0,7
32,No,Travel_Rarely,Research & Development,6,5,Life Sciences,3,Male,3,1,Research Scientist,3,Single,120,3038,3,No,20,4,0,8,3,5,4,1,4
27,No,Travel_Rarely,Research & Development,17,3,Technical Degree,3,Male,3,1,Research Scientist,2,Married,1157,3058,0,Yes,16,3,1,6,2,5,2,1,1
19,Yes,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,1,1,Sales Representative,1,Single,602,2325,0,No,21,4,0,1,4,0,0,0,0
36,No,Travel_Frequently,Research & Development,3,2,Medical,4,Male,3,1,Laboratory Technician,2,Single,1480,2088,4,No,12,3,0,13,2,8,7,7,2
